"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P6";"Header_Servo";1;"GND_SERVO";;;
2;"P5";"Header_Servo";1;"5V_SERVO";;;
3;"C15";"c_0805";1;"1n";;;
4;"D7";"diode-DO214AA";1;"SMBJ5.0CA-TR";;;
5;"C16";"c_0805";1;"10n";;;
6;"D6,D2,D1";"led_0805";3;"LED";;;
7;"U6";"tssop-20";1;"TXS0108";;;
8;"R13,R6,R4,R3,R7,R1,R2,R9,R10,R11";"r_0805";10;"10k";;;
9;"C14,C13,C12,C7,C1,C4,C9,C2";"c_0805";8;"100n";;;
10;"U2";"SO14E";1;"74HC125";;;
11;"SW1";"SW_SMD";1;"SW_PUSH";;;
12;"C11,C10";"c_0805";2;"22p";;;
13;"C5";"c_0805";1;"2u2";;;
14;"C3";"c_0805";1;"2u2_Tant";;;
15;"DIP1";"DIP";1;"DIP";;;
16;"R5,R8";"r_0805";2;"1k5";;;
17;"B3,B2,B15";"I/O";3;"I/O";;;
18;"X1";"Xtal_SMD2";1;"CRYSTAL_2";;;
19;"U4";"DS3231";1;"DS3231N";;;
20;"R12";"r_0805";1;"1k";;;
21;"BT1";"CR1632_2";1;"BATT_RTC";;;
22;"U1";"SOT23-5";1;"LP2985-33DBVR";;;
23;"U3";"SOT223";1;"NCP1117ST50T3G";;;
24;"Q1";"SOT23-3";1;"FDN340P";;;
25;"U5";"SO8E";1;"LM358N";;;
26;"G3,G4";"OSHW_6mm";2;"Logo_OH";;;
27;"G1,G2";"Logo-WL3";2;"Logo_Wyolum";;;
28;"C8";"C_ELCO_SMD";1;"47u,10V";;;
29;"C6";"C_ELCO_SMD";1;"100u,25V";;;
30;"P4";"Header_Servo";1;"PWM_SERVO";;;
31;"P7";"Header_GPS";1;"GPS_UP501";;;
32;"P2";"Header_GPU_JTAG";1;"GPU_JTAG";;;
33;"P3";"Header_GPU_JTAG";1;"LAN_JTAG";;;
34;"P12";"USB_B_Micro";1;"UUSB_B";;;
35;"P9";"Header_ICSP";1;"ICSP";;;
36;"SD1";"SD_Micro";1;"SD_CARD_MICRO";;;
37;"D3,D4";"d_VMD2";2;"RB886G";;;
38;"F1,F2";"f_1206";2;"nanoSMDC110F";;;
39;"D5,D8";"do_457";2;"MBRM110LT1G";;;
40;"P10";"JACK_ALIM";1;"V_IN";;;
41;"P1";"Header_GPIO";1;"BCM2835_GPIO";;;
42;"P13";"Header_A_REF";1;"AREF";;;
43;"P14";"Header_6x1";1;"ANALOG_5V0";;;
44;"P15";"Header_6x1";1;"ANALOG_GND";;;
45;"P11";"Header_U6OE_SMT";1;"U6_OE";;;
46;"P16";"Header_U6OE_SMT";1;"5V_LINK";;;
47;"PCB1";"PCB";1;"PCB";;;
48;"R14";"r_0805";1;"0E";;;
49;"P8";"Header_FTDI";1;"FTDI";;;
50;"SHIELD1";"ARDUINO_SHIELD_2_040pins";1;"ARDUINO_SHIELD";;;
51;"IC1";"DIP-28__300_ELL";1;"ATMEGA328-PU";;;
